State,Latitude,Longitude,Total reported direct emissions
CA,37.73,-121.12,2388.792
TX,29.57,-96.46,34722.25
CA,37.72,-121.68,153518.76
IL,40.56,-89.67,171013.156
IL,40.56,-89.66,325261.986
CA,38.18,-122.28,41859.75
ND,48.59,-97.17,342927.93
WV,38.09,-81.53,246935.25
MD,39.28,-76.57,100769.06
NY,40.93,-73.90,77897.9
IA,42.02,-93.61,194446.328
VA,37.48,-79.04,30036
WV,39.25,-80.29,24741.356
OK,35.08,-98.23,256525.444
MA,45.50,-122.82,42412.54859
MA,42.53,-71.15,37745.48039
NY,42.12,-76.81,95571.344
GA,32.59,-83.59,53918.4
OK,35.45,-95.96,96362.5
FL,30.35,-81.71,65762.82
MN,44.80,-93.47,80913.348
IN,39.13,-84.86,40847.244
FL,28.18,-82.79,1263782.516
SC,34.57,-82.46,229978.25
SD,43.60,-96.64,110557.71
MO,38.60,-90.21,70360.766
MN,45.24,-93.43,31172.75
NC,34.97,-80.17,51909
TX,33.87,-101.87,103903.86
ND,47.37,-101.83,5904569.384
WV,39.26,-80.90,0
AZ,32.06,-109.89,1692043.998
NV,36.42,-114.96,1022418.512
CO,39.67,-105.00,99497.932
MI,44.60,-84.69,72657.752
AR,34.38,-92.73,65509.404
MO,39.17,-91.88,29761.688
IL,39.87,-88.89,4207231.08
ND,46.61,-97.58,28256.668
PA,40.06,-76.32,109530.688
NY,44.95,-74.89,7986.798
LA,30.53,-91.42,0
AL,32.56,-88.20,106234.134
KY,38.04,-85.72,48647.742
CA,34.77,-119.04,20957.372
IN,39.53,-86.38,28929.992
NJ,39.41,-75.22,57000.096
WI,42.66,-88.29,76372.346
IL,41.64,-87.60,87614.576
IN,40.37,-85.20,116830.596
NC,36.29,-78.39,79993.496
CA,36.92,-120.10,78060.732
MO,38.30,-90.40,82394.996
PA,41.82,-78.29,65442.164
LA,32.54,-92.77,42822.336
OK,36.01,-96.10,96370.436
WA,47.55,-122.34,57880.736
NC,35.76,-77.88,92756.316
IN,40.17,-84.97,103113.228
TX,29.76,-95.26,60547.796
PR,18.42,-66.74,112354.298
FL,29.69,-82.58,1065705.7
SC,33.23,-80.45,605607.458
PR,18.39,-66.30,0
TX,32.81,-97.10,88518.05
AZ,33.34,-112.89,938537.224
TX,29.13,-97.04,18334.092
PA,40.64,-79.35,618642.012
GA,32.77,-83.65,88655.316
TN,35.38,-86.04,29101.336
AL,32.44,-87.44,45870.75
LA,32.52,-93.76,1115588.816
NY,40.59,-74.20,528558.29
FL,30.45,-84.40,618770.79
AL,34.63,-87.02,548899.928
FL,30.60,-87.25,8564794.602
UT,39.51,-112.26,574942.24
NC,35.47,-82.54,1448571.11
HI,21.32,-158.12,838.48
NY,40.79,-73.91,29719.068
NY,40.79,-73.91,460292.31
SD,44.58,-96.56,145831.66
NY,42.27,-73.85,694687.976
OH,39.46,-82.28,125374
GA,31.34,-83.03,48572.75
TX,31.95,-103.01,54852.044
TX,31.81,-103.07,49864.712
MS,33.01,-89.68,955896.656
FL,30.46,-83.61,55113
MO,39.31,-91.54,27200.5
NC,35.40,-80.20,200.8
SC,35.03,-81.88,100233.572
NE,40.87,-98.04,137952.08
IL,41.82,-88.23,422403.684
NY,42.95,-78.89,31910.78
CO,40.52,-105.02,125323.0922
OH,41.50,-82.05,775834.892
MS,33.81,-88.56,64026.908
LA,30.27,-91.18,1164519.452
LA,30.25,-93.28,61140.768
CA,33.69,-117.84,54743.644
MO,40.02,-91.52,20860.5
CA,35.45,-119.09,7686.672
WI,42.59,-89.67,107382.344
CA,33.95,-117.12,88809.25
CA,35.42,-118.71,48483.5
AL,30.44,-87.77,257335.75
IN,40.20,-85.41,22713.752
AK,71.29,-156.78,43016.688
CA,34.84,-117.02,43847.3
IN,39.22,-85.80,19097.75
IN,39.13,-85.93,74356.85
KS,38.41,-98.71,36826.25
TX,29.97,-94.05,56132.988
LA,30.20,-91.00,887918.196
TX,29.73,-95.15,51448.456
GA,30.74,-84.49,98109.98
GA,32.07,-81.06,42450.84
AL,31.28,-88.00,67801.844
MO,39.83,-91.44,139758.324
GA,32.89,-83.34,52670.252
GA,32.85,-83.23,178001.48
MI,42.22,-83.15,35763.216
TX,29.00,-95.40,607041.996
TX,29.95,-93.89,2061018.43
ID,43.37,-112.13,25351.604
ID,43.20,-112.38,64684.156
VA,38.62,-78.59,60800.05
MO,39.12,-94.47,42468.184
TX,29.68,-94.93,45112.5
UT,39.95,-111.96,97146.7
MI,42.34,-83.04,100300.224
CA,35.45,-119.09,25146.556
TX,30.06,-94.22,64521.062
OH,39.13,-82.47,326802.55
IL,41.38,-87.64,3448
PA,40.44,-79.95,55806.14
LA,32.34,-93.62,28113.244
WY,44.82,-108.14,39397.07
SD,44.68,-103.85,24326.176
SC,33.11,-80.03,56124.5
AK,60.70,-151.38,2482.24
IN,41.14,-84.91,30150.182
TN,36.54,-87.54,145347.75
MS,33.40,-90.91,149010.25
IL,41.17,-90.02,177209.332
IA,40.83,-91.22,154479.468
IA,42.49,-91.16,169761.76
KY,38.37,-82.76,350027.5
TX,32.27,-101.42,710450.844
UT,40.84,-111.92,265656.848
OH,39.36,-84.17,8513.5
MT,45.72,-108.54,132607.25
MA,42.37,-71.09,29388.44
MO,37.24,-89.60,22417.516
KS,37.54,-101.20,118958.808
CA,34.04,-117.90,293641.5
IA,42.41,-92.33,167365.25
MO,37.24,-92.46,130676.75
AL,33.24,-87.65,452070.25
NC,35.61,-81.31,91678.576
TX,29.56,-95.44,317433.25
KY,37.71,-83.98,11032.25
AL,33.56,-86.80,73562.79
NE,40.91,-96.64,107212.148
SC,34.89,-82.18,51272.592
PA,39.86,-75.32,22704.562
WA,46.10,-118.91,206676.368
MN,48.61,-93.41,156404.856
AL,31.49,-87.90,181477.15
KS,37.96,-100.84,54057.496
TX,35.70,-101.36,1489284.038
CO,39.95,-105.20,12086.75
UT,40.91,-111.91,56962.9
WA,48.88,-122.74,2210540.05
OH,41.68,-83.45,1321539.228
IN,41.67,-87.48,5080309.618
PA,40.61,-79.73,111357.948
TN,35.16,-84.96,64571.25
CA,34.24,-118.38,16119.596
TX,29.70,-95.08,42543.34
WV,38.36,-82.59,27891.288
MI,43.17,-83.84,505596.8
FL,28.40,-80.82,554997.964
IL,40.10,-87.60,26636.1
NE,41.66,-103.09,49012.116
TN,36.00,-86.60,30218.136
TX,26.30,-94.90,222001.802
LA,27.20,-90.03,229317.008
TX,27.84,-96.01,251.246
CA,33.58,-118.12,44128.736
LA,29.95,-91.32,95838.168
TX,27.35,-93.37,25419.722
TX,33.09,-96.82,26054.986
NM,32.54,-103.52,56450.328
WY,43.76,-105.79,59458.73
TX,35.55,-100.12,34980.124
TX,31.91,-96.22,39876.8
TX,33.04,-97.33,49188.956
TX,35.61,-100.10,43872.89
WY,41.07,-111.04,9477.332
TX,31.69,-94.58,46926.154
NM,32.76,-104.21,93385.218
IL,41.41,-88.31,300870.432
TX,32.87,-94.58,39340.27
TX,31.28,-95.52,127139.172
OK,35.75,-99.20,25606.464
TX,28.65,-98.00,34011.682
TX,28.65,-98.00,12313.504
TX,28.96,-97.69,67593.376
TX,28.65,-98.00,109999.296
CO,37.05,-107.79,283412.128
TX,31.24,-103.07,86599.648
ND,48.30,-102.22,10337.914
CO,39.49,-108.11,248415.398
OK,36.00,-97.81,51565.558
TX,32.24,-94.49,80891.148
TX,31.36,-101.78,249657.22
TX,31.65,-102.53,72529.76
ND,47.44,-102.80,36554.822
ND,47.85,-103.18,61165.338
ND,47.59,-104.00,80949.374
ND,48.23,-103.94,82718.004
TX,33.20,-97.80,469469.084
TX,27.82,-97.61,88088.27
LA,29.77,-93.64,0
TX,30.16,-96.56,115134.788
LA,31.97,-93.67,315190.782
ND,47.71,-103.23,31904.136
TX,31.96,-101.49,46002.71
OK,36.73,-100.29,46102.264
ND,46.86,-103.22,34522.822
LA,29.53,-91.41,30923.85
OK,36.62,-97.43,37790.604
TX,31.80,-96.11,50288.126
AL,31.07,-87.36,247407.78
TX,31.11,-101.36,50416.846
